time,close,high,low,open,volumefrom,volumeto,vwap,base,quote,exchange
1489622400,45.6,46.5,34.95,35.0,95182.99,3858129.91,40.53381712425718,eth,usd,gemini
1489708800,44.51,51.99,28.5,45.6,99319.45,4403610.58,44.337847017880186,eth,usd,gemini
1489795200,34.0,44.71,31.0,44.51,70039.13,2596373.88,37.07033311236162,eth,usd,gemini
1489881600,42.31,45.99,33.27,34.0,42060.19,1688948.5,40.155512849561546,eth,usd,gemini
1489968000,42.0,45.9,40.0,42.31,36863.4,1588882.29,43.10189212063998,eth,usd,gemini
1490054400,42.5,43.94,41.71,42.0,15711.74,674101.32,42.90430722504318,eth,usd,gemini
1490140800,41.35,43.05,38.38,42.5,25858.84,1049615.69,40.59020783608236,eth,usd,gemini
1490227200,43.14,44.0,40.51,41.35,26834.47,1131267.73,42.15726004649989,eth,usd,gemini
1490313600,52.81,53.0,42.45,43.14,62530.48,3002461.5,48.01596757293403,eth,usd,gemini
1490400000,50.32,52.98,47.4,52.81,56774.9,2807983.92,49.458192264539434,eth,usd,gemini
1490486400,50.39,51.5,48.48,50.32,14596.5,730753.2,50.0635905867845,eth,usd,gemini
1490572800,48.81,51.54,48.0,50.39,25598.01,1274703.51,49.79697679624315,eth,usd,gemini
1490659200,50.27,50.75,48.53,48.81,21460.44,1063942.97,49.57694110651972,eth,usd,gemini
1490745600,53.32,54.54,50.15,50.27,24058.06,1258183.91,52.29781245869367,eth,usd,gemini
1490832000,51.99,53.5,51.76,53.32,16244.75,857485.7,52.78540451530494,eth,usd,gemini
1490918400,49.07,52.0,46.44,51.99,39781.02,1976063.19,49.673517421121936,eth,usd,gemini
1491004800,50.92,51.91,48.75,49.07,16087.15,809603.53,50.32610064554629,eth,usd,gemini
1491091200,48.61,51.15,47.56,50.92,19260.29,949806.71,49.31424760478684,eth,usd,gemini
1491177600,44.0,48.61,43.0,48.61,47001.53,2137023.54,45.46710585804335,eth,usd,gemini
1491264000,44.59,45.92,41.42,44.0,23781.12,1044654.53,43.92789448100006,eth,usd,gemini
1491350400,45.38,47.26,44.36,44.59,12970.36,599318.7,46.2067899426076,eth,usd,gemini
1491436800,43.48,45.95,41.45,45.38,19077.14,831181.87,43.569521951403615,eth,usd,gemini
1491523200,42.42,44.48,41.9,43.48,11915.96,510087.83,42.80711163850836,eth,usd,gemini
1491609600,44.85,45.76,42.42,42.42,7471.49,334359.72,44.7514110304638,eth,usd,gemini
1491696000,43.87,44.85,43.21,44.85,3168.79,138817.56,43.80774996134171,eth,usd,gemini
1491782400,43.92,45.65,42.8,43.87,5523.11,241127.33,43.65789021040682,eth,usd,gemini
1491868800,43.87,44.68,43.73,43.92,3870.56,170588.45,44.07332530693233,eth,usd,gemini
1491955200,46.54,47.99,43.33,43.87,26082.3,1167010.32,44.74338229373944,eth,usd,gemini
1492041600,50.23,50.91,46.49,46.54,21079.14,1037751.38,49.231201083156144,eth,usd,gemini
1492128000,47.5,50.25,46.52,50.23,13506.66,649265.97,48.07006099213277,eth,usd,gemini
1492214400,48.53,48.98,46.99,47.5,19563.32,936823.64,47.88674110529297,eth,usd,gemini
1492300800,48.29,49.13,47.57,48.53,10406.79,504569.25,48.4846191765184,eth,usd,gemini
1492387200,48.23,48.7,47.69,48.29,7128.97,343918.54,48.24238845162765,eth,usd,gemini
1492473600,49.98,50.4,48.0,48.23,17442.77,863914.93,49.52853990507242,eth,usd,gemini
1492560000,47.96,50.43,47.79,49.98,24277.1,1209906.47,49.83735577972658,eth,usd,gemini
1492646400,49.61,49.8,47.44,47.96,16186.93,784344.27,48.45540630619889,eth,usd,gemini
1492732800,48.47,49.65,48.13,49.61,7741.24,378268.57,48.86407991484569,eth,usd,gemini
1492819200,48.63,49.16,48.25,48.47,5359.25,261624.92,48.817450202920185,eth,usd,gemini
1492905600,48.79,49.22,48.35,48.63,4244.0,206837.73,48.736505655042414,eth,usd,gemini
1492992000,50.5,50.99,48.79,48.79,10785.38,540243.16,50.09032226959088,eth,usd,gemini
1493078400,50.42,50.82,49.97,50.5,8653.88,435968.77,50.378416386638136,eth,usd,gemini
1493164800,53.53,56.02,50.41,50.42,22349.65,1187554.29,53.13525222990069,eth,usd,gemini
1493251200,63.35,64.05,53.16,53.53,21150.87,1268864.02,59.991102966450086,eth,usd,gemini
1493337600,72.65,74.1,62.5,63.35,32562.5,2187869.28,67.18984353166987,eth,usd,gemini
1493424000,70.21,73.98,67.36,72.65,13668.14,972610.16,71.15892579385344,eth,usd,gemini
1493510400,79.71,79.8,69.5,70.21,19186.26,1433018.92,74.68985200867705,eth,usd,gemini
1493596800,77.33,84.84,72.12,79.71,130952.09,10295723.16,78.62206063301471,eth,usd,gemini
1493683200,77.7,80.59,74.51,77.33,107670.73,8180421.27,75.97627758258906,eth,usd,gemini
1493769600,80.0,81.86,75.18,77.7,29233.32,2292382.37,78.41676450023466,eth,usd,gemini
1493856000,94.99,95.77,79.74,80.0,67030.48,5839628.09,87.11899556738965,eth,usd,gemini
1493942400,91.64,97.98,88.05,94.99,48399.04,4526816.34,93.53111838581921,eth,usd,gemini
1494028800,95.84,96.98,90.53,91.64,49146.76,4597061.09,93.53741915031631,eth,usd,gemini
1494115200,92.67,98.79,88.85,95.84,52138.21,4945669.13,94.85690302754928,eth,usd,gemini
1494201600,89.66,94.29,85.55,92.67,37847.94,3415663.22,90.24700472469571,eth,usd,gemini
1494288000,87.59,92.98,74.3,89.66,36802.7,3114532.3,84.62782078488807,eth,usd,gemini
1494374400,89.15,91.86,86.51,87.59,11930.97,1063082.82,89.10279885038686,eth,usd,gemini
1494460800,88.27,90.48,84.5,89.15,107095.97,9147344.84,85.41259619759735,eth,usd,gemini
1494547200,85.38,91.01,83.93,88.27,101938.7,8768077.71,86.01323844624271,eth,usd,gemini
1494633600,87.8,88.3,81.0,85.38,16288.02,1392376.6,85.48470593724713,eth,usd,gemini
1494720000,88.89,88.89,87.5,87.8,6225.49,549957.69,88.33966322329647,eth,usd,gemini
1494806400,90.24,94.48,85.0,88.89,195736.59,17239540.64,88.07520678683531,eth,usd,gemini
1494892800,87.91,92.0,84.0,90.24,151173.6,12939901.92,85.59630729174935,eth,usd,gemini
1494979200,87.0,89.1,81.0,87.91,143376.53,11865111.45,82.75490730595865,eth,usd,gemini
1495065600,96.54,97.0,86.49,87.0,30111.88,2796106.45,92.85725268565098,eth,usd,gemini
1495152000,124.39,129.0,95.93,96.54,66937.62,7710506.7,115.18943607496055,eth,usd,gemini
1495238400,123.2,128.5,121.14,124.39,34838.56,4369591.34,125.42399398827047,eth,usd,gemini
1495324800,146.77,150.0,122.5,123.2,53609.26,7160097.63,133.56083687780804,eth,usd,gemini
1495411200,166.68,175.0,136.33,146.77,152680.7,24496705.83,160.44402357337893,eth,usd,gemini
1495497600,170.0,173.25,157.0,166.68,99089.38,16191831.24,163.40632305904023,eth,usd,gemini
1495584000,192.75,200.0,168.74,170.0,148446.92,27727052.34,186.78092034513077,eth,usd,gemini
1495670400,180.78,217.88,157.68,192.75,146233.71,28041969.29,191.76132021816312,eth,usd,gemini
1495756800,165.14,195.0,143.25,180.78,131710.79,22968133.94,174.38308539490197,eth,usd,gemini
1495843200,159.23,172.0,120.1,165.14,109646.5,16506476.03,150.542662374084,eth,usd,gemini
1495929600,174.0,182.36,159.23,159.23,57782.49,9908781.16,171.48414961002894,eth,usd,gemini
1496016000,194.99,197.9,167.01,174.0,61601.23,11272032.25,182.98388278935337,eth,usd,gemini
1496102400,228.71,231.8,186.15,194.99,151882.4,31344975.08,206.37661164163853,eth,usd,gemini
1496188800,228.99,234.0,215.0,228.71,131779.56,29494154.97,223.8143378988365,eth,usd,gemini
1496275200,220.07,234.0,205.26,228.99,125350.76,27620234.29,220.34357262772082,eth,usd,gemini
1496361600,222.78,224.99,213.5,220.07,81448.32,17816553.75,218.74673105596284,eth,usd,gemini
1496448000,224.5,227.0,219.0,222.78,41639.97,9311220.8,223.6125722472903,eth,usd,gemini
1496534400,245.9,248.99,224.5,224.5,50112.03,11941813.3,238.30232580879283,eth,usd,gemini
1496620800,248.37,248.98,240.0,245.9,50037.97,12272515.0,245.2640464831007,eth,usd,gemini
1496707200,267.44,268.85,245.98,248.37,83824.46,21584001.96,257.4904981195226,eth,usd,gemini
1496793600,256.02,267.48,246.12,267.44,46863.53,12065143.49,257.452724752062,eth,usd,gemini
1496880000,261.04,261.83,248.0,256.02,85525.81,21712884.62,253.87522924366343,eth,usd,gemini
1496966400,280.21,280.37,260.01,261.04,65933.54,17698441.25,268.42850012300266,eth,usd,gemini
1497052800,331.22,344.01,279.99,280.21,93171.47,28459166.17,305.4493630936595,eth,usd,gemini
1497139200,339.0,346.99,309.0,331.22,58874.67,19758981.83,335.6109143371844,eth,usd,gemini
1497225600,394.9,418.5,310.0,339.0,156872.57,56835613.91,362.30434619640636,eth,usd,gemini
1497312000,389.19,398.92,356.0,394.9,89055.95,34070823.33,382.57773152720284,eth,usd,gemini
